W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
46,36,.561,5.0,111.6,112.0,-0.38,2022,Chicago Bulls*
44,38,.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers
25,57,.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers
23,59,.280,28.0,104.8,112.5,-7.36,2022,Detroit Pistons
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2022,Southeast Division
53,29,.646,—,110.0,105.6,4.23,2022,Miami Heat*
43,39,.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks*
43,39,.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets
35,47,.427,18.0,108.6,112.0,-3.23,2022,Washington Wizards
22,60,.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Northwest Division
49,33,.598,—,113.6,107.6,5.67,2022,Utah Jazz*
48,34,.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets*
46,36,.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves*
27,55,.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers
24,58,.293,25.0,103.7,111.8,-7.90,2022,Oklahoma City Thunder
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Pacific Division
64,18,.780,—,114.8,107.3,6.94,2022,Phoenix Suns*
53,29,.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors*
42,40,.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers
33,49,.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers
30,52,.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Southwest Division
56,26,.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies*
52,30,.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks*
36,46,.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans*
34,48,.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs
20,62,.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets
57,25,.695,—,117.9,111.4,6.38,2023,Boston Celtics*
54,28,.659,3.0,115.2,110.9,4.37,2023,Philadelphia 76ers*
47,35,.573,10.0,116.0,113.1,2.99,2023,New York Knicks*
45,37,.549,12.0,113.4,112.5,1.03,2023,Brooklyn Nets*
41,41,.500,16.0,112.9,111.4,1.59,2023,Toronto Raptors*
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2023,Central Division
58,24,.707,—,116.9,113.3,3.61,2023,Milwaukee Bucks*
51,31,.622,7.0,112.3,106.9,5.23,2023,Cleveland Cavaliers*
40,42,.488,18.0,113.1,111.8,1.37,2023,Chicago Bulls*
35,47,.427,23.0,116.3,119.5,-2.91,2023,Indiana Pacers
17,65,.207,41.0,110.3,118.5,-7.73,2023,Detroit Pistons
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2023,Southeast Division
44,38,.537,—,109.5,109.8,-0.13,2023,Miami Heat*
41,41,.500,3.0,118.4,118.1,0.32,2023,Atlanta Hawks*
35,47,.427,9.0,113.2,114.4,-1.06,2023,Washington Wizards
34,48,.415,10.0,111.4,114.0,-2.39,2023,Orlando Magic
27,55,.329,17.0,111.0,117.2,-5.89,2023,Charlotte Hornets
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2023,Northwest Division
53,29,.646,—,115.8,112.5,3.04,2023,Denver Nuggets*
42,40,.512,11.0,115.8,115.8,-0.22,2023,Minnesota Timberwolves*
40,42,.488,13.0,117.5,116.4,0.96,2023,Oklahoma City Thunder*
37,45,.451,16.0,117.1,118.0,-1.03,2023,Utah Jazz
33,49,.402,20.0,113.4,117.4,-3.96,2023,Portland Trail Blazers
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2023,Pacific Division
48,34,.585,—,120.7,118.1,2.30,2023,Sacramento Kings*
45,37,.549,3.0,113.6,111.6,2.08,2023,Phoenix Suns*
44,38,.537,4.0,113.6,113.1,0.31,2023,Los Angeles Clippers*
44,38,.537,4.0,118.9,117.1,1.66,2023,Golden State Warriors*
43,39,.524,5.0,117.2,116.6,0.43,2023,Los Angeles Lakers*
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2023,Southwest Division
51,31,.622,—,116.9,113.0,3.60,2023,Memphis Grizzlies*
42,40,.512,9.0,114.4,112.5,1.63,2023,New Orleans Pelicans*
38,44,.463,13.0,114.2,114.1,-0.14,2023,Dallas Mavericks
22,60,.268,29.0,110.7,118.6,-7.62,2023,Houston Rockets
22,60,.268,29.0,113.0,123.1,-9.82,2023,San Antonio Spurs*
