W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
53,29,0.646,20,104.5,100.2,4.13,2016,Los Angeles Clippers*
33,49,0.402,40,106.6,109.1,-2.32,2016,Sacramento Kings
23,59,0.28,50,100.9,107.5,-6.32,2016,Phoenix Suns
17,65,0.207,56,97.3,106.9,-8.92,2016,Los Angeles Lakers
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Southwest Division
67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs*
42,40,0.512,25,102.3,102.6,-0.02,2016,Dallas Mavericks*
42,40,0.512,25,99.1,101.3,-2.14,2016,Memphis Grizzlies*
41,41,0.5,26,106.5,106.4,0.34,2016,Houston Rockets*
30,52,0.366,37,102.7,106.5,-3.56,2016,New Orleans Pelicans
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Northwest Division
51,31,0.622,—,100.7,96.8,4,2017,Utah Jazz*
47,35,0.573,4,106.6,105.8,1.14,2017,Oklahoma City Thunder*
41,41,0.5,10,107.9,108.5,-0.23,2017,Portland Trail Blazers*
40,42,0.488,11,111.7,111.2,0.7,2017,Denver Nuggets
31,51,0.378,20,105.6,106.7,-0.64,2017,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Pacific Division
67,15,0.817,—,115.9,104.3,11.35,2017,Golden State Warriors*
51,31,0.622,16,108.7,104.4,4.42,2017,Los Angeles Clippers*
32,50,0.39,35,102.8,106.7,-3.29,2017,Sacramento Kings
26,56,0.317,41,104.6,111.5,-6.29,2017,Los Angeles Lakers
24,58,0.293,43,107.7,113.3,-5.14,2017,Phoenix Suns
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Southwest Division
61,21,0.744,—,105.3,98.1,7.13,2017,San Antonio Spurs*
55,27,0.671,6,115.3,109.6,5.84,2017,Houston Rockets*
43,39,0.524,18,100.5,100,0.96,2017,Memphis Grizzlies*
34,48,0.415,27,104.3,106.4,-1.69,2017,New Orleans Pelicans
33,49,0.402,28,97.9,100.8,-2.53,2017,Dallas Mavericks
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Northwest Division
49,33,0.598,—,105.6,103,2.6,2018,Portland Trail Blazers*
48,34,0.585,1,107.9,104.4,3.42,2018,Oklahoma City Thunder*
48,34,0.585,1,104.1,99.8,4.47,2018,Utah Jazz*
47,35,0.573,2,109.5,107.3,2.35,2018,Minnesota Timberwolves*
46,36,0.561,3,110,108.5,1.57,2018,Denver Nuggets
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Pacific Division
58,24,0.707,—,113.5,107.5,5.79,2018,Golden State Warriors*
42,40,0.512,16,109,109,0.15,2018,Los Angeles Clippers
35,47,0.427,23,108.1,109.6,-1.44,2018,Los Angeles Lakers
27,55,0.329,31,98.8,105.8,-6.6,2018,Sacramento Kings
21,61,0.256,37,103.9,113.3,-8.8,2018,Phoenix Suns
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Southwest Division
65,17,0.793,—,112.4,103.9,8.21,2018,Houston Rockets*
48,34,0.585,17,111.7,110.4,1.48,2018,New Orleans Pelicans*
47,35,0.573,18,102.7,99.8,2.89,2018,San Antonio Spurs*
24,58,0.293,41,102.3,105.4,-2.7,2018,Dallas Mavericks
22,60,0.268,43,99.3,105.5,-5.81,2018,Memphis Grizzlies
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
54,28,0.659,—,110.7,106.7,4.19,2019,Denver Nuggets*
53,29,0.646,1,114.7,110.5,4.43,2019,Portland Trail Blazers*
50,32,0.61,4,111.7,106.5,5.28,2019,Utah Jazz*
49,33,0.598,5,114.5,111.1,3.56,2019,Oklahoma City Thunder*
36,46,0.439,18,112.5,114,-1.02,2019,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
57,25,0.695,—,117.7,111.2,6.42,2019,Golden State Warriors*
48,34,0.585,9,115.1,114.3,1.09,2019,Los Angeles Clippers*
39,43,0.476,18,114.2,115.3,-0.81,2019,Sacramento Kings
37,45,0.451,20,111.8,113.5,-1.33,2019,Los Angeles Lakers
19,63,0.232,38,107.5,116.8,-8.61,2019,Phoenix Suns
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
53,29,0.646,—,113.9,109.1,4.96,2019,Houston Rockets*
48,34,0.585,5,111.7,110,1.8,2019,San Antonio Spurs*
33,49,0.402,20,103.5,106.1,-2.08,2019,Memphis Grizzlies
33,49,0.402,20,115.4,116.8,-1.1,2019,New Orleans Pelicans
33,49,0.402,20,108.9,110.1,-0.87,2019,Dallas Mavericks
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Northwest Division
46,27,0.63,—,111.3,109.2,2.35,2020,Denver Nuggets*
44,28,0.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder*
44,28,0.611,1.5,111.3,108.8,2.52,2020,Utah Jazz*
35,39,0.473,11.5,115,116.1,-0.61,2020,Portland Trail Blazers*
19,45,0.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Pacific Division
52,19,0.732,—,113.4,107.6,6.28,2020,Los Angeles Lakers*
49,23,0.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers*
34,39,0.466,19,113.6,113.4,0.56,2020,Phoenix Suns
31,41,0.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
15,50,0.231,34,106.3,115,-8.12,2020,Golden State Warriors
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Southwest Division
44,28,0.611,—,117.8,114.8,3.13,2020,Houston Rockets*
43,32,0.573,2.5,117,112.1,4.87,2020,Dallas Mavericks*
34,39,0.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
32,39,0.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
30,42,0.417,14,115.8,117.1,-0.55,2020,New Orleans Pelicans
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Northwest Division
52,20,0.722,—,116.4,107.2,8.97,2021,Utah Jazz*
47,25,0.653,5,115.1,110.1,4.82,2021,Denver Nuggets*
42,30,0.583,10,116.1,114.3,1.81,2021,Portland Trail Blazers*
23,49,0.319,29,112.1,117.7,-5.25,2021,Minnesota Timberwolves
22,50,0.306,30,105,115.6,-10.13,2021,Oklahoma City Thunder
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Pacific Division
51,21,0.708,—,115.3,109.5,5.67,2021,Phoenix Suns*
47,25,0.653,4,114,107.8,6.02,2021,Los Angeles Clippers*
42,30,0.583,9,109.5,106.8,2.77,2021,Los Angeles Lakers*
39,33,0.542,12,113.7,112.7,1.1,2021,Golden State Warriors
31,41,0.431,20,113.7,117.4,-3.45,2021,Sacramento Kings
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Southwest Division
42,30,0.583,—,112.4,110.2,2.26,2021,Dallas Mavericks*
38,34,0.528,4,113.3,112.3,1.07,2021,Memphis Grizzlies*
33,39,0.458,9,111.1,112.8,-1.58,2021,San Antonio Spurs
31,41,0.431,11,114.6,114.9,-0.2,2021,New Orleans Pelicans
17,55,0.236,25,108.8,116.7,-7.5,2021,Houston Rockets
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Northwest Division
49,33,0.598,—,113.6,107.6,5.67,2022,Utah Jazz*
48,34,0.585,1,112.7,110.4,2.16,2022,Denver Nuggets*
46,36,0.561,3,115.9,113.3,2.53,2022,Minnesota Timberwolves*
27,55,0.329,22,106.2,115.1,-8.55,2022,Portland Trail Blazers
24,58,0.293,25,103.7,111.8,-7.9,2022,Oklahoma City Thunder
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Pacific Division
64,18,0.78,—,114.8,107.3,6.94,2022,Phoenix Suns*
53,29,0.646,11,111,105.5,5.52,2022,Golden State Warriors*
42,40,0.512,22,108.4,108.4,0.09,2022,Los Angeles Clippers
33,49,0.402,31,112.1,115.1,-3.08,2022,Los Angeles Lakers
30,52,0.366,34,110.3,115.8,-5.26,2022,Sacramento Kings
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Southwest Division
56,26,0.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies*
52,30,0.634,4,108,104.7,3.12,2022,Dallas Mavericks*
36,46,0.439,20,109.3,110.3,-0.84,2022,New Orleans Pelicans*
34,48,0.415,22,113.2,113,0.02,2022,San Antonio Spurs
20,62,0.244,36,109.7,118.2,-8.26,2022,Houston Rockets
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2023,Northwest Division
53,29,0.646,—,115.8,112.5,3.04,2023,Denver Nuggets* (1)
42,40,0.512,11,115.8,115.8,-0.22,2023,Minnesota Timberwolves* (8)
40,42,0.488,13,117.5,116.4,0.96,2023,Oklahoma City Thunder* (10)
37,45,0.451,16,117.1,118,-1.03,2023,Utah Jazz (12)
33,49,0.402,20,113.4,117.4,-3.96,2023,Portland Trail Blazers (13)
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2023,Pacific Division
48,34,0.585,—,120.7,118.1,2.3,2023,Sacramento Kings* (3)
45,37,0.549,3,113.6,111.6,2.08,2023,Phoenix Suns* (4)
44,38,0.537,4,113.6,113.1,0.31,2023,Los Angeles Clippers* (5)
44,38,0.537,4,118.9,117.1,1.66,2023,Golden State Warriors* (6)
43,39,0.524,5,117.2,116.6,0.43,2023,Los Angeles Lakers* (7)
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2023,Southwest Division
51,31,0.622,—,116.9,113,3.6,2023,Memphis Grizzlies* (2)
42,40,0.512,9,114.4,112.5,1.63,2023,New Orleans Pelicans* (9)
38,44,0.463,13,114.2,114.1,-0.14,2023,Dallas Mavericks (11)
22,60,0.268,29,110.7,118.6,-7.62,2023,Houston Rockets (14)
22,60,0.268,29,113,123.1,-9.82,2023,San Antonio Spurs (15)
